Format Version,1.21,Take Name,(2.2),Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-01-18 10.24.17 AM,Total Frames in Take,119,Total Exported Frames,119,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
76,0.633333,0.895862,0.005603,0.546385
77,0.641667,0.895852,0.005589,0.546376
78,0.650000,0.895865,0.005602,0.546385
79,0.658333,0.895841,0.005597,0.546388
80,0.666667,0.895859,0.005606,0.546388
81,0.675000,0.895847,0.005588,0.546406
82,0.683333,0.895853,0.005588,0.546391
83,0.691667,0.895860,0.005590,0.546390
84,0.700000,0.895864,0.005597,0.546385
85,0.708333,0.895838,0.005587,0.546385
86,0.716667,0.895854,0.005593,0.546395
87,0.725000,0.895847,0.005596,0.546396
88,0.733333,0.895856,0.005604,0.546386
89,0.741667,0.895848,0.005599,0.546407
90,0.750000,0.895865,0.005620,0.546384
91,0.758333,0.895855,0.005595,0.546378
92,0.766667,0.895845,0.005582,0.546394
93,0.775000,0.895823,0.005596,0.546381
94,0.783333,0.895848,0.005571,0.546397
95,0.791667,0.895840,0.005589,0.546399
96,0.800000,0.895855,0.005602,0.546407
97,0.808333,0.895840,0.005592,0.546385
98,0.816667,0.895862,0.005595,0.546398
99,0.825000,0.895851,0.005577,0.546405
100,0.833333,0.895848,0.005597,0.546405
101,0.841667,0.895836,0.005595,0.546407
102,0.850000,0.895846,0.005587,0.546376
103,0.858333,0.895853,0.005610,0.546392
104,0.866667,0.895848,0.005596,0.546399
105,0.875000,0.895845,0.005605,0.546405
106,0.883333,0.895847,0.005585,0.546390
107,0.891667,0.895853,0.005605,0.546386
108,0.900000,0.895844,0.005599,0.546406
109,0.908333,0.895852,0.005602,0.546381
110,0.916667,0.895864,0.005584,0.546391
111,0.925000,0.895849,0.005595,0.546388
112,0.933333,0.895833,0.005591,0.546379
113,0.941667,0.895838,0.005602,0.546362
114,0.950000,0.895853,0.005609,0.546390
115,0.958333,0.895848,0.005611,0.546392
116,0.966667,0.895845,0.005586,0.546385
117,0.975000,0.895845,0.005583,0.546380
118,0.983333,,,
