Format Version,1.21,Take Name,(2.2),Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-01-18 10.24.17 AM,Total Frames in Take,119,Total Exported Frames,119,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,MarkerSet:intersection,MarkerSet:intersection,MarkerSet:intersection
,,"8392B20CF49E35718D0100000000","8392B20CF49E35718D0100000000","8392B20CF49E35718D0100000000"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.895854,0.005609,0.546405
1,0.008333,0.895847,0.005602,0.546408
2,0.016667,0.895845,0.005589,0.546381
3,0.025000,0.895839,0.005585,0.546395
4,0.033333,0.895843,0.005582,0.546408
5,0.041667,0.895857,0.005594,0.546391
6,0.050000,0.895853,0.005600,0.546390
7,0.058333,0.895838,0.005575,0.546387
8,0.066667,0.895837,0.005595,0.546401
9,0.075000,0.895859,0.005596,0.546398
10,0.083333,0.895852,0.005602,0.546383
11,0.091667,0.895842,0.005618,0.546387
12,0.100000,0.895857,0.005595,0.546400
13,0.108333,0.895850,0.005600,0.546378
14,0.116667,0.895841,0.005587,0.546391
15,0.125000,0.895849,0.005598,0.546401
16,0.133333,0.895863,0.005602,0.546392
17,0.141667,0.895847,0.005592,0.546400
18,0.150000,0.895849,0.005593,0.546393
19,0.158333,0.895851,0.005604,0.546401
20,0.166667,0.895847,0.005600,0.546391
21,0.175000,0.895846,0.005581,0.546394
22,0.183333,0.895849,0.005598,0.546396
23,0.191667,0.895848,0.005582,0.546398
24,0.200000,0.895846,0.005601,0.546381
25,0.208333,0.895857,0.005601,0.546392
26,0.216667,0.895841,0.005587,0.546401
27,0.225000,0.895850,0.005603,0.546396
28,0.233333,0.895862,0.005601,0.546404
29,0.241667,0.895863,0.005595,0.546402
30,0.250000,0.895854,0.005604,0.546397
31,0.258333,0.895848,0.005600,0.546380
32,0.266667,0.895851,0.005602,0.546407
33,0.275000,0.895854,0.005595,0.546409
34,0.283333,0.895854,0.005595,0.546391
35,0.291667,0.895859,0.005604,0.546400
36,0.300000,0.895853,0.005598,0.546395
37,0.308333,0.895855,0.005612,0.546385
38,0.316667,0.895862,0.005584,0.546392
39,0.325000,0.895865,0.005605,0.546396
40,0.333333,0.895854,0.005593,0.546399
41,0.341667,0.895849,0.005602,0.546392
42,0.350000,0.895848,0.005608,0.546387
43,0.358333,0.895840,0.005608,0.546391
44,0.366667,0.895850,0.005587,0.546391
45,0.375000,0.895843,0.005617,0.546401
46,0.383333,0.895850,0.005598,0.546401
47,0.391667,0.895850,0.005599,0.546387
48,0.400000,0.895851,0.005621,0.546389
49,0.408333,0.895860,0.005617,0.546390
50,0.416667,0.895868,0.005594,0.546386
51,0.425000,0.895832,0.005604,0.546389
52,0.433333,0.895850,0.005604,0.546395
53,0.441667,0.895860,0.005600,0.546387
54,0.450000,0.895848,0.005600,0.546393
55,0.458333,0.895853,0.005589,0.546393
56,0.466667,0.895868,0.005618,0.546374
57,0.475000,0.895845,0.005598,0.546382
58,0.483333,0.895846,0.005590,0.546393
59,0.491667,0.895850,0.005599,0.546401
60,0.500000,0.895854,0.005604,0.546392
61,0.508333,0.895877,0.005613,0.546360
62,0.516667,0.895852,0.005594,0.546379
63,0.525000,0.895860,0.005607,0.546394
64,0.533333,0.895838,0.005591,0.546385
65,0.541667,0.895867,0.005601,0.546386
66,0.550000,0.895862,0.005596,0.546385
67,0.558333,0.895853,0.005589,0.546386
68,0.566667,0.895858,0.005610,0.546391
69,0.575000,0.895849,0.005609,0.546382
70,0.583333,0.895851,0.005595,0.546392
71,0.591667,0.895844,0.005584,0.546398
72,0.600000,0.895855,0.005595,0.546377
73,0.608333,0.895844,0.005582,0.546397
74,0.616667,0.895855,0.005595,0.546383
75,0.625000,0.895865,0.005603,0.546390
