Format Version,1.21,Take Name,(2.3),Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-01-18 10.23.48 AM,Total Frames in Take,93,Total Exported Frames,93,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,MarkerSet:intersection,MarkerSet:intersection,MarkerSet:intersection
,,"8392B20CF49E35718D0100000000","8392B20CF49E35718D0100000000","8392B20CF49E35718D0100000000"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.894354,-0.000070,-0.331040
1,0.008333,0.894362,-0.000082,-0.331026
2,0.016667,0.894347,-0.000091,-0.331031
3,0.025000,0.894370,-0.000089,-0.331031
4,0.033333,0.894347,-0.000088,-0.331018
5,0.041667,0.894360,-0.000092,-0.331027
6,0.050000,0.894345,-0.000085,-0.331034
7,0.058333,0.894356,-0.000073,-0.331053
8,0.066667,0.894344,-0.000079,-0.331045
9,0.075000,0.894354,-0.000100,-0.331027
10,0.083333,0.894351,-0.000085,-0.331044
11,0.091667,0.894357,-0.000082,-0.331050
12,0.100000,0.894343,-0.000074,-0.331050
13,0.108333,0.894349,-0.000071,-0.331037
14,0.116667,0.894362,-0.000078,-0.331039
15,0.125000,0.894346,-0.000103,-0.331032
16,0.133333,0.894352,-0.000092,-0.331041
17,0.141667,0.894359,-0.000077,-0.331037
18,0.150000,0.894360,-0.000097,-0.331043
19,0.158333,0.894359,-0.000061,-0.331041
20,0.166667,0.894355,-0.000079,-0.331041
21,0.175000,0.894357,-0.000079,-0.331046
22,0.183333,0.894358,-0.000089,-0.331042
23,0.191667,0.894353,-0.000073,-0.331047
24,0.200000,0.894362,-0.000083,-0.331037
25,0.208333,0.894352,-0.000076,-0.331046
26,0.216667,0.894361,-0.000079,-0.331041
27,0.225000,0.894358,-0.000080,-0.331033
28,0.233333,0.894356,-0.000082,-0.331048
29,0.241667,0.894369,-0.000068,-0.331037
30,0.250000,0.894372,-0.000075,-0.331040
31,0.258333,0.894359,-0.000080,-0.331033
32,0.266667,0.894358,-0.000080,-0.331045
33,0.275000,0.894350,-0.000078,-0.331045
34,0.283333,0.894349,-0.000085,-0.331020
35,0.291667,0.894361,-0.000085,-0.331036
36,0.300000,0.894364,-0.000073,-0.331043
37,0.308333,0.894356,-0.000087,-0.331038
38,0.316667,0.894373,-0.000086,-0.331052
39,0.325000,0.894369,-0.000082,-0.331033
40,0.333333,0.894358,-0.000078,-0.331038
41,0.341667,0.894374,-0.000076,-0.331053
42,0.350000,0.894360,-0.000078,-0.331038
43,0.358333,0.894352,-0.000075,-0.331033
44,0.366667,0.894364,-0.000066,-0.331044
45,0.375000,0.894344,-0.000081,-0.331045
46,0.383333,0.894355,-0.000079,-0.331032
47,0.391667,0.894379,-0.000073,-0.331052
48,0.400000,0.894373,-0.000081,-0.331044
49,0.408333,0.894362,-0.000079,-0.331038
50,0.416667,0.894361,-0.000078,-0.331042
51,0.425000,0.894341,-0.000083,-0.331054
52,0.433333,0.894362,-0.000069,-0.331051
53,0.441667,0.894368,-0.000081,-0.331035
54,0.450000,0.894365,-0.000084,-0.331046
55,0.458333,0.894363,-0.000079,-0.331030
56,0.466667,0.894359,-0.000104,-0.331036
57,0.475000,0.894371,-0.000086,-0.331043
58,0.483333,0.894360,-0.000077,-0.331038
59,0.491667,0.894361,-0.000085,-0.331036
60,0.500000,0.894364,-0.000081,-0.331037
61,0.508333,0.894349,-0.000081,-0.331044
62,0.516667,0.894364,-0.000103,-0.331046
63,0.525000,0.894362,-0.000100,-0.331032
64,0.533333,0.894362,-0.000077,-0.331047
65,0.541667,0.894374,-0.000080,-0.331047
66,0.550000,0.894368,-0.000086,-0.331030
67,0.558333,0.894365,-0.000097,-0.331027
68,0.566667,0.894363,-0.000073,-0.331053
69,0.575000,0.894362,-0.000080,-0.331041
70,0.583333,0.894363,-0.000081,-0.331053
71,0.591667,0.894368,-0.000075,-0.331054
72,0.600000,0.894365,-0.000075,-0.331032
73,0.608333,0.894356,-0.000073,-0.331058
74,0.616667,0.894352,-0.000092,-0.331037
75,0.625000,0.894365,-0.000067,-0.331059
76,0.633333,0.894352,-0.000104,-0.331033
77,0.641667,0.894350,-0.000078,-0.331046
78,0.650000,0.894381,-0.000087,-0.331035
79,0.658333,0.894346,-0.000088,-0.331041
80,0.666667,0.894358,-0.000100,-0.331058
81,0.675000,0.894356,-0.000088,-0.331044
82,0.683333,0.894360,-0.000081,-0.331048
83,0.691667,0.894358,-0.000087,-0.331053
84,0.700000,0.894354,-0.000089,-0.331057
85,0.708333,0.894359,-0.000075,-0.331036
86,0.716667,0.894356,-0.000085,-0.331044
87,0.725000,0.894358,-0.000083,-0.331047
88,0.733333,0.894357,-0.000085,-0.331046
89,0.741667,0.894350,-0.000096,-0.331051
90,0.750000,0.894372,-0.000076,-0.331040
91,0.758333,0.894344,-0.000088,-0.331042
92,0.766667,0.894353,-0.000091,-0.331046
