Format Version,1.21,Take Name,(1.3),Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-01-18 10.23.19 AM,Total Frames in Take,130,Total Exported Frames,130,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,MarkerSet:intersection,MarkerSet:intersection,MarkerSet:intersection
,,"8392B20CF49E35718D0100000000","8392B20CF49E35718D0100000000","8392B20CF49E35718D0100000000"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.248362,0.009587,-0.323312
1,0.008333,0.248353,0.009583,-0.323311
2,0.016667,0.248360,0.009593,-0.323320
3,0.025000,0.248345,0.009594,-0.323311
4,0.033333,0.248347,0.009598,-0.323316
5,0.041667,0.248364,0.009584,-0.323311
6,0.050000,0.248341,0.009584,-0.323301
7,0.058333,0.248383,0.009581,-0.323309
8,0.066667,0.248368,0.009579,-0.323312
9,0.075000,0.248356,0.009583,-0.323308
10,0.083333,0.248351,0.009584,-0.323303
11,0.091667,0.248354,0.009581,-0.323319
12,0.100000,0.248335,0.009581,-0.323303
13,0.108333,0.248355,0.009584,-0.323313
14,0.116667,0.248350,0.009595,-0.323311
15,0.125000,0.248344,0.009584,-0.323312
16,0.133333,0.248357,0.009591,-0.323311
17,0.141667,0.248354,0.009597,-0.323317
18,0.150000,0.248362,0.009588,-0.323309
19,0.158333,0.248346,0.009584,-0.323319
20,0.166667,0.248341,0.009582,-0.323302
21,0.175000,0.248345,0.009588,-0.323309
22,0.183333,0.248351,0.009577,-0.323308
23,0.191667,0.248355,0.009580,-0.323314
24,0.200000,0.248348,0.009574,-0.323320
25,0.208333,0.248358,0.009582,-0.323323
26,0.216667,0.248333,0.009587,-0.323316
27,0.225000,0.248353,0.009579,-0.323317
28,0.233333,0.248353,0.009577,-0.323302
29,0.241667,0.248371,0.009586,-0.323319
30,0.250000,0.248342,0.009579,-0.323311
31,0.258333,0.248352,0.009593,-0.323322
32,0.266667,0.248356,0.009572,-0.323311
33,0.275000,0.248356,0.009590,-0.323311
34,0.283333,0.248348,0.009567,-0.323312
35,0.291667,0.248371,0.009589,-0.323323
36,0.300000,0.248343,0.009582,-0.323309
37,0.308333,0.248361,0.009573,-0.323314
38,0.316667,0.248360,0.009568,-0.323302
39,0.325000,0.248370,0.009567,-0.323319
40,0.333333,0.248372,0.009571,-0.323310
41,0.341667,0.248356,0.009600,-0.323317
42,0.350000,0.248358,0.009596,-0.323320
43,0.358333,0.248360,0.009582,-0.323326
44,0.366667,0.248359,0.009582,-0.323313
45,0.375000,0.248375,0.009593,-0.323323
46,0.383333,0.248371,0.009592,-0.323318
47,0.391667,0.248371,0.009574,-0.323315
48,0.400000,0.248370,0.009583,-0.323309
49,0.408333,0.248372,0.009576,-0.323327
50,0.416667,0.248372,0.009586,-0.323316
51,0.425000,0.248357,0.009579,-0.323318
52,0.433333,0.248369,0.009583,-0.323323
53,0.441667,0.248369,0.009579,-0.323333
54,0.450000,0.248374,0.009576,-0.323303
55,0.458333,0.248353,0.009579,-0.323324
56,0.466667,0.248359,0.009585,-0.323312
57,0.475000,0.248360,0.009589,-0.323317
58,0.483333,0.248364,0.009597,-0.323320
59,0.491667,0.248354,0.009566,-0.323304
60,0.500000,0.248373,0.009581,-0.323319
61,0.508333,0.248354,0.009583,-0.323315
62,0.516667,0.248376,0.009586,-0.323313
63,0.525000,0.248361,0.009589,-0.323307
64,0.533333,0.248361,0.009575,-0.323317
65,0.541667,0.248365,0.009581,-0.323328
66,0.550000,0.248360,0.009576,-0.323320
67,0.558333,0.248352,0.009582,-0.323293
68,0.566667,0.248360,0.009588,-0.323310
69,0.575000,0.248367,0.009572,-0.323301
70,0.583333,0.248364,0.009565,-0.323302
71,0.591667,0.248371,0.009584,-0.323312
