Format Version,1.21,Take Name,(1.3),Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-01-18 10.23.19 AM,Total Frames in Take,130,Total Exported Frames,130,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
72,0.600000,0.248358,0.009604,-0.323318
73,0.608333,0.248355,0.009589,-0.323314
74,0.616667,0.248376,0.009590,-0.323301
75,0.625000,0.248337,0.009593,-0.323313
76,0.633333,0.248354,0.009578,-0.323301
77,0.641667,0.248344,0.009574,-0.323292
78,0.650000,0.248357,0.009584,-0.323314
79,0.658333,0.248358,0.009584,-0.323311
80,0.666667,0.248365,0.009585,-0.323318
81,0.675000,0.248355,0.009583,-0.323309
82,0.683333,0.248358,0.009587,-0.323328
83,0.691667,0.248362,0.009597,-0.323320
84,0.700000,0.248354,0.009586,-0.323302
85,0.708333,0.248350,0.009577,-0.323314
86,0.716667,0.248353,0.009599,-0.323326
87,0.725000,0.248351,0.009595,-0.323312
88,0.733333,0.248347,0.009592,-0.323327
89,0.741667,0.248364,0.009579,-0.323330
90,0.750000,0.248371,0.009596,-0.323323
91,0.758333,0.248350,0.009594,-0.323310
92,0.766667,0.248348,0.009593,-0.323322
93,0.775000,0.248351,0.009573,-0.323316
94,0.783333,0.248351,0.009576,-0.323312
95,0.791667,0.248372,0.009584,-0.323317
96,0.800000,0.248369,0.009584,-0.323322
97,0.808333,0.248352,0.009569,-0.323305
98,0.816667,0.248352,0.009591,-0.323316
99,0.825000,0.248331,0.009570,-0.323306
100,0.833333,0.248348,0.009586,-0.323323
101,0.841667,0.248350,0.009585,-0.323315
102,0.850000,0.248346,0.009582,-0.323308
103,0.858333,0.248355,0.009580,-0.323314
104,0.866667,0.248358,0.009597,-0.323321
105,0.875000,0.248355,0.009577,-0.323316
106,0.883333,0.248361,0.009573,-0.323323
107,0.891667,0.248363,0.009577,-0.323310
108,0.900000,0.248359,0.009579,-0.323306
109,0.908333,0.248356,0.009574,-0.323304
110,0.916667,0.248347,0.009580,-0.323315
111,0.925000,0.248372,0.009575,-0.323318
112,0.933333,0.248367,0.009583,-0.323318
113,0.941667,0.248371,0.009574,-0.323304
114,0.950000,0.248345,0.009579,-0.323317
115,0.958333,0.248361,0.009592,-0.323312
116,0.966667,0.248362,0.009579,-0.323302
117,0.975000,0.248358,0.009573,-0.323309
118,0.983333,0.248365,0.009584,-0.323317
119,0.991667,0.248358,0.009592,-0.323309
120,1.000000,0.248366,0.009566,-0.323314
121,1.008333,0.248346,0.009574,-0.323313
122,1.016667,0.248365,0.009575,-0.323307
123,1.025000,0.248363,0.009590,-0.323301
124,1.033333,0.248376,0.009586,-0.323307
125,1.041667,0.248364,0.009605,-0.323323
126,1.050000,0.248382,0.009593,-0.323311
127,1.058333,0.248367,0.009591,-0.323306
128,1.066667,0.248367,0.009594,-0.323318
129,1.075000,0.248370,0.009591,-0.323307
