Format Version,1.21,Take Name,(1.1),Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-01-18 10.21.32 AM,Total Frames in Take,100,Total Exported Frames,100,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,MarkerSet:intersection,MarkerSet:intersection,MarkerSet:intersection
,,"8392B20CF49E35718D0100000000","8392B20CF49E35718D0100000000","8392B20CF49E35718D0100000000"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.256367,0.024490,1.416007
1,0.008333,0.256373,0.024508,1.416014
2,0.016667,0.256366,0.024485,1.416022
3,0.025000,0.256376,0.024504,1.416009
4,0.033333,0.256349,0.024505,1.416021
5,0.041667,0.256372,0.024488,1.416013
6,0.050000,0.256376,0.024486,1.416017
7,0.058333,0.256379,0.024490,1.416007
8,0.066667,0.256371,0.024492,1.416016
9,0.075000,0.256373,0.024486,1.416015
10,0.083333,0.256382,0.024503,1.416012
11,0.091667,0.256376,0.024492,1.416013
12,0.100000,0.256374,0.024504,1.416013
13,0.108333,0.256368,0.024500,1.416010
14,0.116667,0.256365,0.024500,1.416014
15,0.125000,0.256373,0.024474,1.416001
16,0.133333,0.256380,0.024491,1.416016
17,0.141667,0.256370,0.024487,1.416012
18,0.150000,0.256383,0.024493,1.416018
19,0.158333,0.256380,0.024480,1.415997
20,0.166667,0.256382,0.024491,1.416000
21,0.175000,0.256385,0.024482,1.416014
22,0.183333,0.256385,0.024483,1.416013
23,0.191667,0.256382,0.024497,1.416013
24,0.200000,0.256393,0.024504,1.416017
25,0.208333,0.256369,0.024491,1.416004
26,0.216667,0.256389,0.024470,1.416011
27,0.225000,0.256399,0.024479,1.416011
28,0.233333,0.256382,0.024494,1.416005
29,0.241667,0.256378,0.024494,1.416007
30,0.250000,0.256392,0.024490,1.416013
31,0.258333,0.256397,0.024487,1.416006
32,0.266667,0.256376,0.024490,1.416009
33,0.275000,0.256375,0.024498,1.416009
34,0.283333,0.256364,0.024490,1.416002
35,0.291667,0.256383,0.024494,1.416008
36,0.300000,0.256367,0.024504,1.416014
37,0.308333,0.256388,0.024480,1.416008
38,0.316667,0.256386,0.024499,1.416013
39,0.325000,0.256383,0.024498,1.416007
40,0.333333,0.256392,0.024503,1.416015
41,0.341667,0.256365,0.024493,1.416016
42,0.350000,0.256376,0.024488,1.416012
43,0.358333,0.256374,0.024502,1.416009
44,0.366667,0.256367,0.024492,1.416016
45,0.375000,0.256364,0.024504,1.416017
46,0.383333,0.256391,0.024487,1.416016
47,0.391667,0.256366,0.024483,1.416021
48,0.400000,0.256376,0.024484,1.416016
49,0.408333,0.256356,0.024501,1.416019
50,0.416667,0.256363,0.024486,1.416020
51,0.425000,0.256381,0.024492,1.416022
52,0.433333,0.256385,0.024497,1.416030
53,0.441667,0.256365,0.024495,1.416016
54,0.450000,0.256355,0.024499,1.416024
55,0.458333,0.256379,0.024505,1.416013
56,0.466667,0.256374,0.024485,1.416021
57,0.475000,0.256360,0.024492,1.416020
58,0.483333,0.256381,0.024493,1.416019
59,0.491667,0.256388,0.024496,1.416020
60,0.500000,0.256373,0.024495,1.416014
61,0.508333,0.256387,0.024484,1.416016
62,0.516667,0.256388,0.024504,1.416016
63,0.525000,0.256382,0.024490,1.416015
64,0.533333,0.256352,0.024498,1.416010
65,0.541667,0.256371,0.024502,1.416022
66,0.550000,0.256372,0.024508,1.416013
67,0.558333,0.256363,0.024497,1.416012
68,0.566667,0.256377,0.024486,1.416022
69,0.575000,0.256361,0.024505,1.416025
70,0.583333,0.256379,0.024487,1.416006
71,0.591667,0.256380,0.024502,1.416020
72,0.600000,0.256376,0.024494,1.416013
73,0.608333,0.256374,0.024514,1.416014
74,0.616667,0.256375,0.024504,1.416015
75,0.625000,0.256379,0.024489,1.416018
76,0.633333,0.256369,0.024496,1.416004
77,0.641667,0.256376,0.024508,1.416015
78,0.650000,0.256385,0.024487,1.416016
79,0.658333,0.256378,0.024489,1.416009
80,0.666667,0.256374,0.024499,1.416025
81,0.675000,0.256376,0.024492,1.416020
82,0.683333,0.256377,0.024486,1.416010
83,0.691667,0.256386,0.024505,1.416010
84,0.700000,0.256375,0.024499,1.416015
85,0.708333,0.256371,0.024491,1.416016
86,0.716667,0.256380,0.024511,1.416003
87,0.725000,0.256374,0.024510,1.416016
88,0.733333,0.256373,0.024494,1.416024
89,0.741667,0.256359,0.024498,1.416005
90,0.750000,0.256387,0.024504,1.416019
91,0.758333,0.256353,0.024493,1.416023
92,0.766667,0.256375,0.024498,1.416018
93,0.775000,0.256381,0.024502,1.416008
94,0.783333,0.256361,0.024483,1.416021
95,0.791667,0.256360,0.024497,1.416004
96,0.800000,0.256385,0.024492,1.416027
97,0.808333,0.256363,0.024506,1.416017
98,0.816667,0.256380,0.024494,1.416032
99,0.825000,0.256385,0.024497,1.416010
