Format Version,1.21,Take Name,(3.3),Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-01-18 10.26.05 AM,Total Frames in Take,93,Total Exported Frames,93,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,MarkerSet:intersection,MarkerSet:intersection,MarkerSet:intersection
,,"8392B20CF49E35718D0100000000","8392B20CF49E35718D0100000000","8392B20CF49E35718D0100000000"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,1.548406,-0.005897,-0.336925
1,0.008333,1.548411,-0.005904,-0.336923
2,0.016667,1.548389,-0.005918,-0.336923
3,0.025000,1.548411,-0.005913,-0.336921
4,0.033333,1.548409,-0.005879,-0.336927
5,0.041667,1.548401,-0.005887,-0.336935
6,0.050000,1.548396,-0.005892,-0.336924
7,0.058333,1.548391,-0.005896,-0.336930
8,0.066667,1.548394,-0.005887,-0.336933
9,0.075000,1.548388,-0.005894,-0.336924
10,0.083333,1.548405,-0.005889,-0.336913
11,0.091667,1.548400,-0.005884,-0.336926
12,0.100000,1.548392,-0.005889,-0.336917
13,0.108333,1.548396,-0.005895,-0.336926
14,0.116667,1.548388,-0.005897,-0.336916
15,0.125000,1.548383,-0.005892,-0.336921
16,0.133333,1.548398,-0.005873,-0.336926
17,0.141667,1.548391,-0.005885,-0.336915
18,0.150000,1.548404,-0.005874,-0.336929
19,0.158333,1.548393,-0.005898,-0.336917
20,0.166667,1.548420,-0.005892,-0.336924
21,0.175000,1.548395,-0.005891,-0.336933
22,0.183333,1.548401,-0.005897,-0.336917
23,0.191667,1.548382,-0.005897,-0.336929
24,0.200000,1.548396,-0.005879,-0.336928
25,0.208333,1.548398,-0.005881,-0.336935
26,0.216667,1.548404,-0.005898,-0.336931
27,0.225000,1.548386,-0.005901,-0.336923
28,0.233333,1.548376,-0.005897,-0.336922
29,0.241667,1.548395,-0.005881,-0.336939
30,0.250000,1.548406,-0.005884,-0.336923
31,0.258333,1.548400,-0.005885,-0.336930
32,0.266667,1.548401,-0.005891,-0.336910
33,0.275000,1.548401,-0.005881,-0.336924
34,0.283333,1.548409,-0.005887,-0.336931
35,0.291667,1.548389,-0.005871,-0.336917
36,0.300000,1.548411,-0.005871,-0.336912
37,0.308333,1.548401,-0.005880,-0.336933
38,0.316667,1.548393,-0.005896,-0.336924
39,0.325000,1.548404,-0.005876,-0.336931
40,0.333333,1.548404,-0.005877,-0.336926
41,0.341667,1.548391,-0.005884,-0.336912
42,0.350000,1.548408,-0.005880,-0.336925
43,0.358333,1.548403,-0.005867,-0.336909
44,0.366667,1.548405,-0.005875,-0.336924
45,0.375000,1.548407,-0.005881,-0.336925
46,0.383333,1.548401,-0.005875,-0.336926
47,0.391667,1.548401,-0.005868,-0.336917
48,0.400000,1.548397,-0.005870,-0.336925
49,0.408333,1.548387,-0.005891,-0.336921
50,0.416667,1.548405,-0.005863,-0.336940
51,0.425000,1.548398,-0.005872,-0.336934
52,0.433333,1.548396,-0.005870,-0.336936
53,0.441667,1.548400,-0.005865,-0.336930
54,0.450000,1.548410,-0.005877,-0.336927
55,0.458333,1.548400,-0.005865,-0.336925
56,0.466667,1.548408,-0.005878,-0.336920
57,0.475000,1.548395,-0.005887,-0.336914
58,0.483333,1.548409,-0.005888,-0.336906
59,0.491667,1.548400,-0.005875,-0.336922
60,0.500000,1.548398,-0.005865,-0.336936
61,0.508333,1.548396,-0.005882,-0.336936
62,0.516667,1.548419,-0.005874,-0.336925
63,0.525000,1.548402,-0.005875,-0.336925
64,0.533333,1.548397,-0.005884,-0.336925
65,0.541667,1.548406,-0.005907,-0.336940
66,0.550000,1.548400,-0.005883,-0.336919
67,0.558333,1.548392,-0.005883,-0.336916
68,0.566667,1.548407,-0.005870,-0.336919
69,0.575000,1.548396,-0.005877,-0.336932
70,0.583333,1.548396,-0.005894,-0.336934
71,0.591667,1.548399,-0.005888,-0.336928
72,0.600000,1.548407,-0.005878,-0.336928
73,0.608333,1.548404,-0.005881,-0.336919
74,0.616667,1.548400,-0.005891,-0.336935
75,0.625000,1.548391,-0.005893,-0.336934
76,0.633333,1.548397,-0.005892,-0.336941
77,0.641667,1.548401,-0.005884,-0.336932
78,0.650000,1.548379,-0.005905,-0.336919
79,0.658333,1.548404,-0.005880,-0.336936
80,0.666667,1.548411,-0.005887,-0.336935
81,0.675000,1.548396,-0.005884,-0.336924
82,0.683333,1.548393,-0.005893,-0.336931
83,0.691667,1.548409,-0.005898,-0.336932
84,0.700000,1.548399,-0.005876,-0.336933
85,0.708333,1.548398,-0.005900,-0.336918
86,0.716667,1.548387,-0.005894,-0.336922
87,0.725000,1.548393,-0.005883,-0.336908
88,0.733333,1.548404,-0.005879,-0.336930
89,0.741667,1.548391,-0.005875,-0.336938
90,0.750000,1.548396,-0.005882,-0.336938
91,0.758333,1.548413,-0.005861,-0.336918
92,0.766667,1.548394,-0.005894,-0.336895
