Format Version,1.21,Take Name,(2.1),Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-01-18 10.24.53 AM,Total Frames in Take,73,Total Exported Frames,73,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,MarkerSet:intersection,MarkerSet:intersection,MarkerSet:intersection
,,"8392B20CF49E35718D0100000000","8392B20CF49E35718D0100000000","8392B20CF49E35718D0100000000"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.902779,0.019208,1.418963
1,0.008333,0.902779,0.019183,1.418947
2,0.016667,0.902776,0.019197,1.418952
3,0.025000,0.902780,0.019209,1.418955
4,0.033333,0.902782,0.019205,1.418959
5,0.041667,0.902776,0.019211,1.418963
6,0.050000,0.902783,0.019209,1.418939
7,0.058333,0.902786,0.019193,1.418956
8,0.066667,0.902779,0.019214,1.418951
9,0.075000,0.902766,0.019208,1.418938
10,0.083333,0.902773,0.019206,1.418950
11,0.091667,0.902775,0.019218,1.418944
12,0.100000,0.902775,0.019206,1.418963
13,0.108333,0.902771,0.019213,1.418948
14,0.116667,0.902780,0.019194,1.418940
15,0.125000,0.902790,0.019190,1.418926
16,0.133333,0.902772,0.019187,1.418952
17,0.141667,0.902772,0.019186,1.418942
18,0.150000,0.902771,0.019196,1.418952
19,0.158333,0.902779,0.019198,1.418940
20,0.166667,0.902771,0.019172,1.418933
21,0.175000,0.902787,0.019197,1.418923
22,0.183333,0.902775,0.019206,1.418932
23,0.191667,0.902767,0.019179,1.418941
24,0.200000,0.902790,0.019205,1.418935
25,0.208333,0.902773,0.019199,1.418924
26,0.216667,0.902793,0.019176,1.418948
27,0.225000,0.902794,0.019204,1.418944
28,0.233333,0.902788,0.019193,1.418930
29,0.241667,0.902791,0.019189,1.418924
30,0.250000,0.902782,0.019181,1.418921
31,0.258333,0.902791,0.019190,1.418921
32,0.266667,0.902776,0.019205,1.418923
33,0.275000,0.902789,0.019195,1.418929
34,0.283333,0.902774,0.019195,1.418935
35,0.291667,0.902779,0.019191,1.418926
36,0.300000,0.902767,0.019181,1.418941
37,0.308333,0.902785,0.019181,1.418949
38,0.316667,0.902793,0.019198,1.418936
39,0.325000,0.902771,0.019206,1.418941
40,0.333333,0.902785,0.019183,1.418944
41,0.341667,0.902788,0.019195,1.418942
42,0.350000,0.902795,0.019186,1.418957
43,0.358333,0.902788,0.019192,1.418972
44,0.366667,0.902780,0.019176,1.418946
45,0.375000,0.902774,0.019190,1.418947
46,0.383333,0.902777,0.019187,1.418959
47,0.391667,0.902778,0.019176,1.418948
48,0.400000,0.902787,0.019181,1.418954
49,0.408333,0.902780,0.019186,1.418964
50,0.416667,0.902779,0.019181,1.418934
51,0.425000,0.902789,0.019186,1.418947
52,0.433333,0.902784,0.019205,1.418944
53,0.441667,0.902790,0.019200,1.418955
54,0.450000,0.902770,0.019197,1.418952
55,0.458333,0.902782,0.019181,1.418933
56,0.466667,0.902789,0.019183,1.418937
57,0.475000,0.902797,0.019192,1.418949
58,0.483333,0.902794,0.019207,1.418956
59,0.491667,0.902788,0.019185,1.418947
60,0.500000,0.902788,0.019189,1.418931
61,0.508333,0.902800,0.019187,1.418944
62,0.516667,0.902792,0.019195,1.418935
63,0.525000,0.902798,0.019203,1.418950
64,0.533333,0.902793,0.019217,1.418947
65,0.541667,0.902815,0.019215,1.418929
66,0.550000,0.902801,0.019209,1.418951
67,0.558333,0.902802,0.019216,1.418944
68,0.566667,0.902818,0.019197,1.418946
69,0.575000,0.902807,0.019195,1.418930
70,0.583333,0.902797,0.019205,1.418937
71,0.591667,0.902790,0.019191,1.418930
72,0.600000,0.902802,0.019188,1.418943
